Date,HomeTeam,AwayTeam,Team,Batsman,Status,R,B,Min,4s,6s
15.12.2021 00:00,Pakistan,West Indies,WIN Innings,Hope S.,c Ahmed I. b Wasim M.,1,6,12,0,0
15.12.2021 00:00,Pakistan,West Indies,WIN Innings,King B.,c Nawaz M. b Rauf H.,67,43,81,6,3
15.12.2021 00:00,Pakistan,West Indies,WIN Innings,Brooks S.,lbw Nawaz M.,10,4,7,1,1
15.12.2021 00:00,Pakistan,West Indies,WIN Innings,Pooran N.,c Rauf H. b Nawaz M.,26,26,40,1,1
15.12.2021 00:00,Pakistan,West Indies,WIN Innings,Powell R.,c Zaman F. b Wasim M.,4,11,15,0,0
15.12.2021 00:00,Pakistan,West Indies,WIN Innings,Smith O.,c Ali Asif b Afridi S.,12,6,16,1,1
15.12.2021 00:00,Pakistan,West Indies,WIN Innings,Shepherd R.,not out,35,19,32,2,2
15.12.2021 00:00,Pakistan,West Indies,WIN Innings,Drakes D.,c Rizwan M. b Afridi S.,0,1,5,0,0
15.12.2021 00:00,Pakistan,West Indies,WIN Innings,Walsh H.,b Afridi S.,0,1,2,0,0
15.12.2021 00:00,Pakistan,West Indies,WIN Innings,Hosein A.,run out Azam B.,2,2,10,0,0
15.12.2021 00:00,Pakistan,West Indies,WIN Innings,Thomas O.,b Rauf H.,0,1,9,0,0
15.12.2021 00:00,Pakistan,West Indies,PAK Innings,Rizwan M.,c Hope S. b Smith O.,38,30,62,4,1
15.12.2021 00:00,Pakistan,West Indies,PAK Innings,Azam B.,run out Walsh H.,7,7,13,1,0
15.12.2021 00:00,Pakistan,West Indies,PAK Innings,Zaman F.,st Pooran N. b Hosein A.,10,5,10,1,0
15.12.2021 00:00,Pakistan,West Indies,PAK Innings,Ali H.,c Brooks S. b Smith O.,31,34,52,4,0
15.12.2021 00:00,Pakistan,West Indies,PAK Innings,Ahmed I.,c Pooran N. b Thomas O.,32,19,35,1,2
15.12.2021 00:00,Pakistan,West Indies,PAK Innings,Nawaz M.,c Powell R. b Walsh H.,1,3,3,0,0
15.12.2021 00:00,Pakistan,West Indies,PAK Innings,Ali Asif,c Powell R. b Shepherd R.,9,7,9,0,1
15.12.2021 00:00,Pakistan,West Indies,PAK Innings,Khan S.,not out,28,12,19,1,3
15.12.2021 00:00,Pakistan,West Indies,PAK Innings,Wasim M.,run out Pooran N.,5,3,11,1,0
15.12.2021 00:00,Pakistan,West Indies,PAK Innings,Rauf H.,not out,0,0,1,0,0
14.12.2021 00:00,Pakistan,West Indies,WIN Innings,Hope S.,lbw Khan S.,31,26,48,4,0
14.12.2021 00:00,Pakistan,West Indies,WIN Innings,King B.,c Azam B. b Nawaz M.,1,2,10,0,0
14.12.2021 00:00,Pakistan,West Indies,WIN Innings,Pooran N.,b Wasim M.,18,10,14,1,2
14.12.2021 00:00,Pakistan,West Indies,WIN Innings,Thomas D.,lbw Wasim M.,2,4,10,0,0
14.12.2021 00:00,Pakistan,West Indies,WIN Innings,Brooks S.,b Khan S.,5,15,23,0,0
14.12.2021 00:00,Pakistan,West Indies,WIN Innings,Powell R.,c Nawaz M. b Khan S.,23,15,20,1,1
14.12.2021 00:00,Pakistan,West Indies,WIN Innings,Drakes D.,c Nawaz M. b Rauf H.,5,6,11,1,0
14.12.2021 00:00,Pakistan,West Indies,WIN Innings,Shepherd R.,b Wasim M.,21,16,32,2,1
14.12.2021 00:00,Pakistan,West Indies,WIN Innings,Smith O.,b Afridi S.,24,16,23,2,2
14.12.2021 00:00,Pakistan,West Indies,WIN Innings,Thomas O.,b Wasim M.,1,3,7,0,0
14.12.2021 00:00,Pakistan,West Indies,WIN Innings,Hosein A.,not out,1,1,8,0,0
14.12.2021 00:00,Pakistan,West Indies,PAK Innings,Rizwan M.,c Smith O. b Shepherd R.,78,52,84,10,0
14.12.2021 00:00,Pakistan,West Indies,PAK Innings,Azam B.,c Hope S. b Hosein A.,0,2,5,0,0
14.12.2021 00:00,Pakistan,West Indies,PAK Innings,Zaman F.,c Brooks S. b Shepherd R.,10,10,27,1,0
14.12.2021 00:00,Pakistan,West Indies,PAK Innings,Ali H.,c Smith O. b Drakes D.,68,39,83,6,4
14.12.2021 00:00,Pakistan,West Indies,PAK Innings,Ali Asif,c Powell R. b Thomas O.,1,4,8,0,0
14.12.2021 00:00,Pakistan,West Indies,PAK Innings,Ahmed I.,c Hope S. b Smith O.,7,5,11,1,0
14.12.2021 00:00,Pakistan,West Indies,PAK Innings,Nawaz M.,not out,30,10,15,3,2
14.12.2021 00:00,Pakistan,West Indies,PAK Innings,Khan S.,not out,0,0,3,0,0
22.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Rizwan M.,b Shohidul I.,40,43,70,2,1
22.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Azam B.,c Naim M. b Islam A.,19,25,31,2,0
22.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Ali H.,c Hossain Shanto N. b Mahmudullah M.,45,38,64,3,2
22.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Ahmed S.,c Naim M. b Mahmudullah M.,6,12,23,0,0
22.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Ahmed I.,c Ali Y. b Mahmudullah M.,6,2,2,0,1
22.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Nawaz M.,not out,4,1,5,1,0
22.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Shah K.,not out,0,0,8,0,0
22.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Naim M.,c & b Wasim M.,47,50,85,2,2
22.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Hossain Shanto N.,b Dahani S.,5,5,6,1,0
22.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Hossain S.,c Ahmed I. b Qadir U.,22,23,27,4,0
22.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Hossain A.,c Rizwan M. b Qadir U.,20,21,28,0,2
22.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Mahmudullah M.,c Wasim M. b Rauf H.,13,14,25,1,0
22.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Hasan N.,c Qadir U. b Wasim M.,4,2,2,1,0
22.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Islam A.,run out Azam B.,3,2,3,0,0
22.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Mahedi H.,not out,5,3,5,1,0
22.11.2021 00:30,India,New Zealand,NZ Innings,Guptill M.,c Yadav S. b Chahal Y.,51,36,52,4,4
22.11.2021 00:30,India,New Zealand,NZ Innings,Mitchell D.,c Patel H. b Patel A.,5,6,13,1,0
22.11.2021 00:30,India,New Zealand,NZ Innings,Chapman M.,st Pant R. b Patel A.,0,2,5,0,0
22.11.2021 00:30,India,New Zealand,NZ Innings,Phillips G.,b Patel A.,0,4,7,0,0
22.11.2021 00:30,India,New Zealand,NZ Innings,Seifert T.,run out Kishan I.,17,18,35,1,0
22.11.2021 00:30,India,New Zealand,NZ Innings,Neesham J.,c Pant R. b Patel H.,3,7,14,0,0
22.11.2021 00:30,India,New Zealand,NZ Innings,Santner M.,run out Kishan I.,2,4,12,0,0
22.11.2021 00:30,India,New Zealand,NZ Innings,Milne A.,c Sharma R. b Iyer V.,7,6,15,0,1
22.11.2021 00:30,India,New Zealand,NZ Innings,Sodhi I.,c Yadav S. b Patel H.,9,11,13,2,0
22.11.2021 00:30,India,New Zealand,NZ Innings,Ferguson L.,c & b Chahar D.,14,8,11,0,2
22.11.2021 00:30,India,New Zealand,NZ Innings,Boult T.,not out,2,2,7,0,0
22.11.2021 00:30,India,New Zealand,IND Innings,Sharma R.,c & b Sodhi I.,56,31,60,5,3
22.11.2021 00:30,India,New Zealand,IND Innings,Kishan I.,c Seifert T. b Santner M.,29,21,35,6,0
22.11.2021 00:30,India,New Zealand,IND Innings,Yadav S.,c Guptill M. b Santner M.,0,4,5,0,0
22.11.2021 00:30,India,New Zealand,IND Innings,Pant R.,c Neesham J. b Santner M.,4,6,9,0,0
22.11.2021 00:30,India,New Zealand,IND Innings,Iyer S.,c Mitchell D. b Milne A.,25,20,38,2,0
22.11.2021 00:30,India,New Zealand,IND Innings,Iyer V.,c Chapman M. b Boult T.,20,15,24,1,1
22.11.2021 00:30,India,New Zealand,IND Innings,Patel H.,b Ferguson L.,18,11,15,2,1
22.11.2021 00:30,India,New Zealand,IND Innings,Patel A.,not out,2,4,26,0,0
22.11.2021 00:30,India,New Zealand,IND Innings,Chahar D.,not out,21,8,9,2,1
20.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Rizwan M.,c Hassan S. b Islam A.,39,45,79,4,0
20.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Azam B.,b Rahman M.,1,5,13,0,0
20.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Zaman F.,not out,57,51,77,2,3
20.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Ali H.,not out,6,8,11,1,0
20.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Naim M.,c Zaman F. b Wasim M.,2,8,12,0,0
20.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Hassan S.,lbw Afridi S.,0,1,6,0,0
20.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Hossain Shanto N.,c & b Khan S.,40,34,67,5,0
20.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Hossain A.,c Rizwan M. b Khan S.,20,21,33,1,1
20.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Mahmudullah M.,c Rizwan M. b Rauf H.,12,15,24,1,0
20.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Hasan N.,c Rizwan M. b Afridi S.,11,13,34,1,0
20.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Mahedi H.,c & b Nawaz M.,3,8,13,0,0
20.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Islam A.,not out,8,16,25,0,0
20.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Ahmed T.,not out,2,4,9,0,0
20.11.2021 00:30,India,New Zealand,IND Innings,Rahul L.,c Phillips G. b Southee T.,65,49,80,6,2
20.11.2021 00:30,India,New Zealand,IND Innings,Sharma R.,c Guptill M. b Southee T.,55,36,90,1,5
20.11.2021 00:30,India,New Zealand,IND Innings,Iyer V.,not out,12,11,22,2,0
20.11.2021 00:30,India,New Zealand,IND Innings,Yadav S.,b Southee T.,1,2,3,0,0
20.11.2021 00:30,India,New Zealand,IND Innings,Pant R.,not out,12,6,8,0,2
20.11.2021 00:30,India,New Zealand,NZ Innings,Guptill M.,c Pant R. b Chahar D.,31,15,25,3,2
20.11.2021 00:30,India,New Zealand,NZ Innings,Mitchell D.,c Yadav S. b Patel H.,31,28,63,3,0
20.11.2021 00:30,India,New Zealand,NZ Innings,Chapman M.,c Rahul L. b Patel A.,21,17,22,3,0
20.11.2021 00:30,India,New Zealand,NZ Innings,Phillips G.,c Gaikwad R. b Patel H.,34,21,47,1,3
20.11.2021 00:30,India,New Zealand,NZ Innings,Seifert T.,c Kumar B. b Ashwin R. R.,13,15,22,1,0
20.11.2021 00:30,India,New Zealand,NZ Innings,Neesham J.,c Pant R. b Kumar B.,3,12,20,0,0
20.11.2021 00:30,India,New Zealand,NZ Innings,Santner M.,not out,8,9,22,0,0
20.11.2021 00:30,India,New Zealand,NZ Innings,Milne A.,not out,5,4,13,0,0
19.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Rizwan M.,b Rahman M.,11,11,13,1,0
19.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Azam B.,b Ahmed T.,7,10,21,1,0
19.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Zaman F.,c Hasan N. b Ahmed T.,34,36,59,4,0
19.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Ali H.,lbw Mahedi H.,0,3,5,0,0
19.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Malik S.,run out Hasan N.,0,3,7,0,0
19.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Shah K.,c Hasan N. b Shoriful I.,34,35,53,3,1
19.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Khan S.,not out,21,10,30,1,2
19.11.2021 19:00,Bangladesh,Pakistan,PAK Innings,Nawaz M.,not out,18,8,14,1,2
19.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Naim M.,c Rizwan M. b Ali Hasan,1,3,5,0,0
19.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Hassan S.,c Zaman F. b Wasim M.,1,8,14,0,0
19.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Hossain Shanto N.,c & b Wasim M.,7,14,16,0,0
19.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Hossain A.,st Rizwan M. b Khan S.,36,34,49,2,2
19.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Mahmudullah M.,b Nawaz M.,6,11,22,0,0
19.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Hasan N.,c Rizwan M. b Ali Hasan,28,22,35,0,2
19.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Mahedi H.,not out,30,20,0,1,2
19.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Islam A.,b Ali Hasan,2,5,8,0,0
19.11.2021 19:00,Bangladesh,Pakistan,BAN Innings,Ahmed T.,not out,8,3,7,0,1
18.11.2021 00:30,India,New Zealand,IND Innings,Rahul L.,c Chapman M. b Santner M.,15,14,27,1,1
18.11.2021 00:30,India,New Zealand,IND Innings,Sharma R.,c Ravindra R. b Boult T.,48,36,63,5,2
18.11.2021 00:30,India,New Zealand,IND Innings,Yadav S.,b Boult T.,62,40,56,6,3
18.11.2021 00:30,India,New Zealand,IND Innings,Pant R.,not out,17,17,38,2,0
18.11.2021 00:30,India,New Zealand,IND Innings,Iyer S.,c Boult T. b Southee T.,5,8,14,0,0
18.11.2021 00:30,India,New Zealand,IND Innings,Iyer V.,c Ravindra R. b Mitchell D.,4,2,5,1,0
18.11.2021 00:30,India,New Zealand,IND Innings,Patel A.,not out,1,1,4,0,0
18.11.2021 00:30,India,New Zealand,NZ Innings,Guptill M.,c Iyer S. b Chahar D.,70,42,87,3,4
18.11.2021 00:30,India,New Zealand,NZ Innings,Mitchell D.,b Kumar B.,0,1,5,0,0
18.11.2021 00:30,India,New Zealand,NZ Innings,Chapman M.,b Ashwin R. R.,63,50,61,6,2
18.11.2021 00:30,India,New Zealand,NZ Innings,Phillips G.,lbw Ashwin R. R.,0,3,4,0,0
18.11.2021 00:30,India,New Zealand,NZ Innings,Seifert T.,c Yadav S. b Kumar B.,12,11,27,2,0
18.11.2021 00:30,India,New Zealand,NZ Innings,Ravindra R.,b Siraj M.,7,8,19,1,0
18.11.2021 00:30,India,New Zealand,NZ Innings,Santner M.,not out,4,4,13,0,0
18.11.2021 00:30,India,New Zealand,NZ Innings,Southee T.,not out,0,1,2,0,0
10.10.2021 01:30,Oman,Sri Lanka,SL Innings,Nissanka P.,lbw Kaleemullah,26,29,46,3,0
10.10.2021 01:30,Oman,Sri Lanka,SL Innings,Chandimal D.,c Khan A. b Butt F.,18,8,8,1,2
10.10.2021 01:30,Oman,Sri Lanka,SL Innings,Asalanka C.,c Butt F. b Maqsood Z.,5,4,11,0,0
10.10.2021 01:30,Oman,Sri Lanka,SL Innings,Fernando Avishka,lbw Nadeem M.,33,18,37,0,2
10.10.2021 01:30,Oman,Sri Lanka,SL Innings,Rajapaksa B.,not out,35,21,63,0,2
10.10.2021 01:30,Oman,Sri Lanka,SL Innings,Shanaka D.,c Khushi N. b Nadeem M.,0,2,1,0,0
10.10.2021 01:30,Oman,Sri Lanka,SL Innings,Karunaratne C.,not out,36,26,52,0,3
10.10.2021 01:30,Oman,Sri Lanka,OMA Innings,Singh J.,b Fernando B.,5,12,10,1,0
10.10.2021 01:30,Oman,Sri Lanka,OMA Innings,Prajapati K.,c & b Karunaratne C.,22,19,22,1,2
10.10.2021 01:30,Oman,Sri Lanka,OMA Innings,Ilyas A.,c Shanaka D. b Karunaratne C.,59,38,73,3,4
10.10.2021 01:30,Oman,Sri Lanka,OMA Innings,Maqsood Z.,c Fernando B. b Theekshana M.,16,8,21,0,2
10.10.2021 01:30,Oman,Sri Lanka,OMA Innings,Khan A.,b Kumara L.,20,26,48,0,0
10.10.2021 01:30,Oman,Sri Lanka,OMA Innings,Nadeem M.,run out Fernando Avishka,0,1,8,0,0
10.10.2021 01:30,Oman,Sri Lanka,OMA Innings,Khushi N.,b Kumara L.,6,2,1,0,1
10.10.2021 01:30,Oman,Sri Lanka,OMA Innings,Goud S.,c Fernando Avishka b Shanaka D.,12,8,10,2,0
10.10.2021 01:30,Oman,Sri Lanka,OMA Innings,Butt F.,not out,3,5,12,0,0
10.10.2021 01:30,Oman,Sri Lanka,OMA Innings,Kaleemullah,not out,1,1,3,0,0
07.10.2021 21:30,Oman,Sri Lanka,OMA Innings,Prajapati K.,c Chandimal D. b Pradeep N.,0,4,0,0,0
07.10.2021 21:30,Oman,Sri Lanka,OMA Innings,Ilyas A.,c Kumara L. b Pradeep N.,3,7,7,0,0
07.10.2021 21:30,Oman,Sri Lanka,OMA Innings,Singh J.,c Chandimal D. b Kumara L.,7,10,17,1,0
07.10.2021 21:30,Oman,Sri Lanka,OMA Innings,Maqsood Z.,c Dananjaya A. b Kumara L.,9,7,15,0,0
07.10.2021 21:30,Oman,Sri Lanka,OMA Innings,Nadeem M.,c Chandimal D. b Kumara L.,32,32,73,1,2
07.10.2021 21:30,Oman,Sri Lanka,OMA Innings,Khan A.,c Fernando Avishka b Karunaratne C.,23,25,28,2,1
07.10.2021 21:30,Oman,Sri Lanka,OMA Innings,Goud S.,c Chandimal D. b Kumara L.,17,13,15,3,0
07.10.2021 21:30,Oman,Sri Lanka,OMA Innings,Khushi N.,c & b Karunaratne C.,40,22,33,2,4
07.10.2021 21:30,Oman,Sri Lanka,OMA Innings,Kaleemullah,not out,1,1,8,0,0
07.10.2021 21:30,Oman,Sri Lanka,SL Innings,Nissanka P.,c Maqsood Z. b Kaleemullah,8,14,20,0,0
07.10.2021 21:30,Oman,Sri Lanka,SL Innings,Chandimal D.,c Khushi N. b Butt F.,0,1,3,0,0
07.10.2021 21:30,Oman,Sri Lanka,SL Innings,Mendis K.,lbw Butt F.,0,1,6,0,0
07.10.2021 21:30,Oman,Sri Lanka,SL Innings,Fernando Avishka,not out,83,59,88,3,5
07.10.2021 21:30,Oman,Sri Lanka,SL Innings,Rajapaksa B.,c Goud S. b Ali K.,15,21,31,1,0
07.10.2021 21:30,Oman,Sri Lanka,SL Innings,Shanaka D.,not out,51,24,46,2,5
14.09.2021 23:30,Sri Lanka,South Africa,RSA Innings,Hendricks R.,not out,56,42,70,5,1
14.09.2021 23:30,Sri Lanka,South Africa,RSA Innings,de Kock Q.,not out,59,46,70,7,0
14.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Perera Kusal,lbw Maharaj K.,39,33,56,3,0
14.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Fernando Avishka,c & b Rabada K.,12,8,11,2,0
14.09.2021 23:30,Sri Lanka,South Africa,SL Innings,de Silva D.,st de Kock Q. b Fortuin B.,1,3,3,0,0
14.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Rajapaksa B.,b Rabada K.,5,6,9,1,0
14.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Mendis K.,c Maharaj K. b Markram A.,10,16,21,0,0
14.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Shanaka D.,c van der Dussen R. b Mulder W.,18,26,36,2,0
14.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Hasaranga W.,c Maharaj K. b Fortuin B.,4,4,5,0,0
14.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Madushanka L.,run out de Kock Q.,1,3,4,0,0
14.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Karunaratne C.,not out,24,19,24,0,2
14.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Chameera D.,not out,2,2,8,0,0
12.09.2021 23:30,Sri Lanka,South Africa,RSA Innings,de Kock Q.,not out,58,48,74,7,0
12.09.2021 23:30,Sri Lanka,South Africa,RSA Innings,Hendricks R.,c Chandimal D. b Hasaranga W.,18,19,46,2,0
12.09.2021 23:30,Sri Lanka,South Africa,RSA Innings,Markram A.,not out,21,19,30,3,0
12.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Perera Kusal,lbw Markram A.,30,25,55,2,1
12.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Chandimal D.,c Maharaj K. b Nortje A.,5,8,9,0,0
12.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Rajapaksa B.,c & b Markram A.,20,13,19,3,1
12.09.2021 23:30,Sri Lanka,South Africa,SL Innings,de Silva D.,st de Kock Q. b Shamsi T.,4,6,11,0,0
12.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Shanaka D.,b Shamsi T.,10,8,8,0,1
12.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Asalanka C.,c & b Markram A.,14,20,38,0,0
12.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Hasaranga W.,b Fortuin B.,4,7,8,0,0
12.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Karunaratne C.,b Shamsi T.,8,12,12,0,0
12.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Chameera D.,lbw Fortuin B.,1,3,7,0,0
12.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Theekshana M.,lbw Maharaj K.,0,2,7,0,0
12.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Jayawickrama P.,not out,0,5,4,0,0
10.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Fernando Avishka,run out Rabada K.,11,14,23,0,0
10.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Chandimal D.,not out,66,54,94,5,2
10.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Rajapaksa B.,lbw Maharaj K.,0,1,7,0,0
10.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Asalanka C.,c Pretorius D. b Shamsi T.,6,19,23,0,0
10.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Shanaka D.,b Fortuin B.,16,14,15,1,0
10.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Hasaranga W.,c Hendricks R. b Pretorius D.,0,2,4,0,0
10.09.2021 23:30,Sri Lanka,South Africa,SL Innings,de Silva D.,b Nortje A.,1,2,3,0,0
10.09.2021 23:30,Sri Lanka,South Africa,SL Innings,Karunaratne C.,not out,22,14,18,1,2
10.09.2021 23:30,Sri Lanka,South Africa,RSA Innings,de Kock Q.,c Asalanka C. b Hasaranga W.,36,32,42,3,1
10.09.2021 23:30,Sri Lanka,South Africa,RSA Innings,Hendricks R.,c Theekshana M. b Hasaranga W.,38,30,49,3,1
10.09.2021 23:30,Sri Lanka,South Africa,RSA Innings,Markram A.,c Chameera D. b Shanaka D.,48,33,49,1,2
10.09.2021 23:30,Sri Lanka,South Africa,RSA Innings,Klaasen H.,lbw Theekshana M.,2,4,9,0,0
10.09.2021 23:30,Sri Lanka,South Africa,RSA Innings,Miller D.,c Fernando Avishka b Chameera D.,26,15,39,2,1
10.09.2021 23:30,Sri Lanka,South Africa,RSA Innings,Pretorius D.,not out,10,6,7,1,0
10.09.2021 23:30,Sri Lanka,South Africa,RSA Innings,Rabada K.,not out,0,0,3,0,0
10.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Naim M.,c Latham T. b Sears B.,23,21,33,3,0
10.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Das L.,c Kuggeleijn S. b Patel A.,10,12,18,1,0
10.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Sarkar S.,c Ravindra R. b McConchie C.,4,9,9,0,0
10.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Rahim M.,c de Grandhomme C. b Ravindra R.,3,8,10,0,0
10.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Hossain A.,not out,49,33,59,2,3
10.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Mahmudullah M.,c Allen F. b Kuggeleijn S.,23,21,33,1,1
10.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Hasan N.,lbw Patel A.,4,4,3,1,0
10.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Hossain S.,b Duffy J.,2,5,5,0,0
10.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Ahmed T.,b Kuggeleijn S.,9,4,5,2,0
10.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Ahmed N.,not out,3,3,3,0,0
10.09.2021 20:00,Bangladesh,New Zealand,NZ Innings,Allen F.,b Shoriful I.,41,24,31,4,3
10.09.2021 20:00,Bangladesh,New Zealand,NZ Innings,Ravindra R.,c Rahim M. b Shoriful I.,17,12,27,3,0
10.09.2021 20:00,Bangladesh,New Zealand,NZ Innings,Latham T.,not out,50,37,72,2,2
10.09.2021 20:00,Bangladesh,New Zealand,NZ Innings,Young W.,c Hasan N. b Hossain A.,6,8,12,1,0
10.09.2021 20:00,Bangladesh,New Zealand,NZ Innings,de Grandhomme C.,c Hossain S. b Ahmed N.,9,8,8,0,1
10.09.2021 20:00,Bangladesh,New Zealand,NZ Innings,Nicholls H.,c Hasan N. b Ahmed T.,20,21,22,2,0
10.09.2021 20:00,Bangladesh,New Zealand,NZ Innings,McConchie C.,not out,17,10,23,3,0
08.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Naim M.,run out Bracewell D.,29,35,63,1,1
08.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Das L.,c Allen F. b McConchie C.,6,11,10,1,0
08.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Al Hasan S.,st Latham T. b Patel A.,8,8,14,1,0
08.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Rahim M.,b Patel A.,0,3,3,0,0
08.09.2021 20:00,Bangladesh,New Zealand,BAN Innings,Mahmudullah M.,not out,43,48,61,1,2
